Movies analyzed: 28963
Unique initials: 66
Overall mean rating: 6.17
Overall weighted mean rating: 7.10
Eta squared (effect size): 0.0048
F statistic: 2.148 (df_between=65, df_within=28897)

Letter	Titles	Avg Rating	Weighted Avg	Median	Total Votes
झ	1	7.80	7.80	7.80	1180
घ	1	7.50	7.50	7.50	1999
ध	2	6.75	6.94	6.75	34705
ट	6	6.62	6.82	6.60	202147
भ	1	6.60	6.60	6.60	20153
ई	1	6.60	6.60	6.60	82111
य	6	6.57	6.69	6.60	169993
अ	4	6.52	5.93	6.45	76380
ह	6	6.48	6.66	6.65	223874
ल	10	6.41	6.91	6.25	299758
इ	2	6.40	6.40	6.40	14516
ड	9	6.39	6.28	6.20	116768
K	859	6.35	7.12	6.50	18335077
M	1825	6.33	7.02	6.50	56372732
U	294	6.29	6.97	6.45	9189999
Q	66	6.25	6.67	6.50	1281056
P	1156	6.25	7.14	6.40	38810128
À	2	6.25	6.69	6.25	10065
V	451	6.24	6.79	6.30	8748372
N	736	6.23	6.89	6.40	18204998
स	19	6.22	6.66	6.50	519034
G	839	6.21	7.19	6.30	34640295
J	584	6.21	6.90	6.40	22753080
İ	1	6.20	6.20	6.20	7438
I	757	6.20	7.35	6.30	37985371
R	977	6.19	7.06	6.30	35265733
Y	226	6.19	6.78	6.30	4415284
#	382	6.19	7.12	6.30	18979762
द	7	6.19	6.19	6.40	84879
O	549	6.18	7.17	6.40	16760816
L	1063	6.18	7.14	6.30	32386432
T	5402	6.17	7.20	6.30	265174088
E	577	6.16	6.95	6.30	21926741
A	2080	6.15	7.12	6.30	67381714
F	848	6.15	7.14	6.30	37642567
S	2478	6.15	7.12	6.30	96118193
च	2	6.15	7.36	6.15	35537
व	6	6.12	6.31	5.80	28762
W	698	6.11	7.01	6.30	25975100
B	1870	6.10	6.99	6.30	60341575
X	29	6.10	7.05	6.40	5123596
C	1359	6.07	7.02	6.30	46640378
प	9	6.07	6.50	6.20	156398
D	1465	6.05	7.07	6.20	47175928
H	1098	6.04	6.96	6.20	39118986
ब	16	6.02	6.16	5.90	634654
Ö	1	6.00	6.00	6.00	2626
म	15	5.99	6.16	6.20	347125
Z	106	5.92	7.20	6.10	4518352
र	8	5.89	5.79	6.30	267449
फ	8	5.84	6.88	6.10	370352
Χ	1	5.80	5.80	5.80	8253
क	9	5.76	5.55	5.70	133806
न	3	5.73	5.64	5.60	83282
烈	1	5.70	5.70	5.70	1392
श	5	5.60	6.06	5.80	132030
आ	1	5.60	5.60	5.60	16785
ज	7	5.54	5.82	5.70	39141
ग	8	5.54	5.25	5.55	96658
Æ	1	5.40	5.40	5.40	135738
त	1	5.20	5.20	5.20	1907
ऑ	1	4.70	4.70	4.70	1117
ख	2	4.65	5.09	4.65	9916
ए	4	4.65	5.55	5.20	102669
ਪ	1	4.00	4.00	4.00	530
Ṭ	1	3.80	3.80	3.80	2057
